,,,,,,Event Window,,"[0,1]","[0,2]","[0,5]","[0,9]","[-2,2]","[-5,5]","[-5,-1]","[-2,-1]"
,,,,,,,,0,0,0,0,-2,-5,-5,-2
,,,,,,,,1,2,5,9,2,5,-1,-1
Country Name,Olympic Year,Olympic Season,City Size,Announcement Date,Index Used,Original Paper,$\hat{\sigma}_{\epsilon_i}$,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR
Sweden,2004,Summer,Big,9/5/1997,AFFARSVARLDEN GENERAL INDEX,Yes,6.23E-05,-0.0005039,0.0045473,-0.0152149,-0.000372,-0.0156749,-0.0196347,-0.0044198,-0.0202223
Argentina,2004,Summer,Big,9/5/1997,ARGENTINA MERVAL,Yes,0.00011225,-0.005685,-0.0109866,-0.0178943,-0.0358851,-0.0146651,-0.0757809,-0.0578866,-0.0036785
Switzerland,2006,Winter,Big,6/19/1999,Swiss Market Index,Yes,0.000187953,0.0008459,-0.0029856,-0.0169812,-0.0131809,0.0001026,-0.01482,0.0021612,0.0030882
Finland,2006,Winter,Big,6/19/1999,OMX HELSINKI (OMXH),Yes,0.000350561,0.0374257,0.0277869,0.0111251,0.0252062,0.026656,0.0097617,-0.0013633,-0.0011309
Austria,2006,Winter,Big,6/19/1999,ATX,Yes,0.000219135,0.0223123,0.0204769,0.0064948,0.0327504,0.0209163,0.0046594,-0.0018354,0.0004395
Slovakia,2006,Winter,Big,6/19/1999,SLOVAKIA SAX 16,Yes,0.000258736,0.0071888,0.0134157,-0.0142604,-0.0259687,0.0175214,-0.0451616,-0.0309012,0.0041056
Poland,2006,Winter,Small,6/19/1999,WARSAW GENERAL INDEX 20,Yes,0.000696186,0.0109362,0.0081927,0.0360467,0.0008058,0.0240309,0.0401776,0.0041309,0.0158381
Canada,2008,Summer,Big,7/13/2001,S&P/TSX Composite,Yes,0.000137036,-0.0016228,-0.0065076,0.009054,0.008167,-0.0077145,0.0020415,-0.0070125,-0.0012068
France,2008,Summer,Big,7/13/2001,CAC 40,Yes,0.00010271,0.0142595,0.0051444,-0.0171825,-0.01622,-0.0083676,-0.041583,-0.0244004,-0.013512
Turkey,2008,Summer,Big,7/13/2001,Borsa Istanbul 100,Yes,0.001975281,-0.0038286,-0.0484662,0.0570155,0.0803072,-0.0953024,-0.1415892,-0.1986047,-0.0468362
Japan,2008,Summer,Small,7/13/2001,NIKKEI 225 ,Yes,0.00025026,-0.0029214,-0.019935,-0.0584522,-0.0434683,-0.0152352,-0.067264,-0.0088118,0.0046999
South Korea,2010,Winter,Small,7/2/2003,KOSPI,Yes,0.000411538,0.0168601,0.0281415,0.0462031,0.0633629,0.0269505,0.0698811,0.023678,-0.0011909
Austria,2010,Winter,Big,7/2/2003,ATX,Yes,7.96E-05,0.0060719,0.010284,0.0080089,0.0188606,0.0087272,0.0124445,0.0044356,-0.0015568
France,2012,Summer,Big,7/6/2005,CAC 40,Yes,3.76E-05,-0.0033376,0.0078364,0.0082245,0.0250106,0.001021,0.022843,0.0146185,-0.0068154
Spain,2012,Summer,Big,7/6/2005,IBEX 35,Yes,3.34E-05,-0.0136385,-0.005373,-0.0002986,0.0076709,-0.0107933,0.0115598,0.0118584,-0.0054203
USA,2012,Summer,Big,7/6/2005,S&P 500,Yes,1.35E-05,0.0010524,0.0015274,-0.0028599,0.0007395,0.0097737,0.0046611,0.007521,0.0082463
Russia,2012,Summer,Big,7/6/2005,RSF EE MT (RUR) INDEX,Yes,0.000198704,0.02691,0.0358141,0.0365907,0.0201421,0.0414988,0.0662838,0.0296931,0.0056847
South Korea,2014,Winter,Small,7/4/2007,KOSPI,Yes,6.31E-05,0.0228614,0.0265394,0.0443362,0.055328,0.0508342,0.0578664,0.0135302,0.0242948
Austria,2014,Winter,Big,7/4/2007,ATX,Yes,6.19E-05,0.0055506,0.0079711,-0.0090981,-0.0276216,-0.0008113,-0.0156486,-0.0065505,-0.0087824
Spain,2016,Summer,Big,10/2/2009,IBEX 35,,0.000175989,0.0050962,0.0103095,-0.0099912,-0.0211687,-0.000789,-0.0100813,-0.0000901,-0.0110985
Japan,2016,Summer,Big,10/2/2009,NIKKEI 225 ,,0.0007712,-0.0309245,-0.0433922,-0.0236536,-0.0090036,-0.042818,-0.0700359,-0.0463822,0.0005742
USA,2016,Summer,Small,10/2/2009,S&P 500,,0.000131372,0.0136857,0.0058114,0.0051968,0.0045255,0.0003911,0.0077725,0.0025757,-0.0054203
Germany,2018,Winter,Big,7/6/2011,Dax,,2.87E-05,-0.0005176,-0.0030627,-0.0048028,-0.012588,-0.0020263,-0.0050407,-0.0002379,0.0010364
France,2018,Winter,Small,7/6/2011,CAC 40,,2.95E-05,-0.0040561,-0.0123039,-0.0218423,-0.0423293,-0.0200599,-0.0298542,-0.0080119,-0.007756
Turkey,2020,Summer,Big,9/7/2013,Borsa Istanbul 100,,0.00025438,0.0527832,0.0494162,0.0783068,0.117777,0.0503662,0.0762802,-0.0020266,0.00095
Spain,2020,Summer,Big,9/7/2013,IBEX 35,,8.75E-05,-0.0038932,-0.0001908,0.0073066,0.0159131,0.0154979,0.0291851,0.0218785,0.0156888
